sim	node	label	bl.spec	bl.subs	bl.coal	input.theta	est.theta
1	<1>	taeGut-aptFor	0.04155687	0.0422327	1.0355541527009728	0.04578784	0.08156541092485993
1	<2>	aptHaa-aptOwe	0.00305054	0.00906667	0.44272969376889676	0.006321079	0.04095803885579343
1	<5>	cryCin-tinGut	0.0172068	0.0331119	0.6854347402910069	0.037018559	0.0966157623873633
1	<6>	eudEle-notPer	0.0079941	0.0156648	0.1852980100112595	0.057911894	0.16907682925518885
1	<8>	aptHaa-aptRow	0.0277496	0.0346979	2.0316508778434903	0.019876606	0.034157345022615616
1	<3>	casCas-droNov	0.0273773	0.0279061	1.3063005567889112	0.029694415	0.04272538942890373
1	<9>	cryCin-eudEle	0.0672093	0.052062	1.2829338461287316	0.095580579	0.08116084887322556
1	<10>	aptHaa-casCas	0.0028599	0.00276873	0.05148902426341899	0.086448824	0.10754641555587133
1	<4>	rheAme-rhePen	0.0566382	0.0594026	3.1814562152973394	0.027801219	0.0373430253192708
1	<12>	aptHaa-rheAme	0.00185668	0.00136977	0.03839767531848313	0.058734321	0.07134650671628794
1	<11>	cryCin-anoDid	0.0253604	0.0177143	0.5988283842385291	0.053495448	0.05916319421807476
1	<13>	aptHaa-cryCin	0.0118742	0.00409746	0.18149415549994452	0.064943475	0.04515252834134653
1	<7>	taeGut-galGal	0.0406841	0.0562994	2.7106134234114743	0.04578784	0.04153996989297259
1	<14>	aptHaa-strCam	0.0406969	0.0403161	2.7106134234114743	0.011627686	0.02974684597352853
