sim	node	label	bl.spec	bl.subs	bl.coal	input.theta	est.theta
3	<1>	taeGut-aptFor	0.04155687	0.044194	1.1409146683587987	0.04578784	0.07747117505917053
3	<2>	aptHaa-aptOwe	0.00305054	0.00846344	0.5141354832322587	0.006321079	0.03292299510935204
3	<5>	cryCin-tinGut	0.0172068	0.0317023	0.6806136666104443	0.037018559	0.09315798831334697
3	<6>	eudEle-notPer	0.0079941	0.0178705	0.22001097544486983	0.057911894	0.1624509864916078
3	<8>	aptHaa-aptRow	0.0277496	0.0325665	1.9079402790078765	0.019876606	0.034137860978473065
3	<3>	casCas-droNov	0.0273773	0.0296786	1.395876037747476	0.029694415	0.042523260228597856
3	<9>	cryCin-eudEle	0.0672093	0.0515262	1.2660018379865086	0.095580579	0.08139988182315594
3	<10>	aptHaa-casCas	0.0028599	0.00290541	0.07237616317531005	0.086448824	0.08028637807070528
3	<4>	rheAme-rhePen	0.0566382	0.0602625	3.18708550237829	0.027801219	0.037816682329376156
3	<12>	aptHaa-rheAme	0.00185668	0.00109311	0.018898740220914402	0.058734321	0.11568072656930893
3	<11>	cryCin-anoDid	0.0253604	0.0179474	0.5833642830956968	0.053495448	0.06153067824022355
3	<13>	aptHaa-cryCin	0.0118742	0.00321578	0.12995362952742964	0.064943475	0.04949119176884917
3	<7>	taeGut-galGal	0.0406841	0.0538844	2.3457095196278024	0.04578784	0.04594294353083405
3	<14>	aptHaa-strCam	0.0406969	0.0441794	2.3457095196278024	0.011627686	0.037668261675478064
